year,month,date,series,value
1968,12,1968-12-01,Gold And Silver Closing Quotations,726.68
1969,1,1969-01-01,Oil And Gas Closing Quotations,1191.25
1969,1,1969-01-01,Metals And Minerals Closing Quotations,1414.84
1969,1,1969-01-01,Utilities Closing Quotations,1148.81
1969,1,1969-01-01,Paper And Forest Products Closing Quotations,1175.85
1969,1,1969-01-01,Merchandising Closing Quotations,1042.4
1969,1,1969-01-01,Financial Services Closing Quotations,752.74
1969,1,1969-01-01,Gold And Silver Closing Quotations,730.04
1969,2,1969-02-01,Oil And Gas Closing Quotations,1054.05
1969,2,1969-02-01,Metals And Minerals Closing Quotations,1344.88
1969,2,1969-02-01,Utilities Closing Quotations,1134.75
1969,2,1969-02-01,Paper And Forest Products Closing Quotations,1140.91
1969,2,1969-02-01,Merchandising Closing Quotations,1012.25
1969,2,1969-02-01,Financial Services Closing Quotations,716.43
1969,2,1969-02-01,Gold And Silver Closing Quotations,769.55
1969,3,1969-03-01,Oil And Gas Closing Quotations,1134.85
1969,3,1969-03-01,Metals And Minerals Closing Quotations,1389.33
1969,3,1969-03-01,Utilities Closing Quotations,1172.3
1969,3,1969-03-01,Paper And Forest Products Closing Quotations,1207.4
1969,3,1969-03-01,Merchandising Closing Quotations,1006.73
1969,3,1969-03-01,Financial Services Closing Quotations,743.48
1969,3,1969-03-01,Gold And Silver Closing Quotations,712.67
1969,4,1969-04-01,Oil And Gas Closing Quotations,1170.65
1969,4,1969-04-01,Metals And Minerals Closing Quotations,1421.88
1969,4,1969-04-01,Utilities Closing Quotations,1220.06
1969,4,1969-04-01,Paper And Forest Products Closing Quotations,1303.48
1969,4,1969-04-01,Merchandising Closing Quotations,1039.87
1969,4,1969-04-01,Financial Services Closing Quotations,748.74
1969,4,1969-04-01,Gold And Silver Closing Quotations,733.13
1969,5,1969-05-01,Oil And Gas Closing Quotations,1408.63
1969,5,1969-05-01,Metals And Minerals Closing Quotations,1418.75
1969,5,1969-05-01,Utilities Closing Quotations,1242.43
1969,5,1969-05-01,Paper And Forest Products Closing Quotations,1225.75
1969,5,1969-05-01,Merchandising Closing Quotations,1029.06
1969,5,1969-05-01,Financial Services Closing Quotations,735.02
1969,5,1969-05-01,Gold And Silver Closing Quotations,726.83
1969,6,1969-06-01,Oil And Gas Closing Quotations,1169.74
1969,6,1969-06-01,Metals And Minerals Closing Quotations,1300.76
1969,6,1969-06-01,Utilities Closing Quotations,1153.01
1969,6,1969-06-01,Paper And Forest Products Closing Quotations,1080.88
1969,6,1969-06-01,Merchandising Closing Quotations,919.52
1969,6,1969-06-01,Financial Services Closing Quotations,676.9
1969,6,1969-06-01,Gold And Silver Closing Quotations,623.87
1969,7,1969-07-01,Oil And Gas Closing Quotations,1054.39
1969,7,1969-07-01,Metals And Minerals Closing Quotations,1231.49
1969,7,1969-07-01,Utilities Closing Quotations,1113.19
1969,7,1969-07-01,Paper And Forest Products Closing Quotations,1014.2
1969,7,1969-07-01,Merchandising Closing Quotations,864.44
1969,7,1969-07-01,Financial Services Closing Quotations,637.07
1969,7,1969-07-01,Gold And Silver Closing Quotations,511.08
1969,8,1969-08-01,Oil And Gas Closing Quotations,1164.41
1969,8,1969-08-01,Metals And Minerals Closing Quotations,1293.26
1969,8,1969-08-01,Utilities Closing Quotations,1123.55
1969,8,1969-08-01,Paper And Forest Products Closing Quotations,1096.19
1969,8,1969-08-01,Merchandising Closing Quotations,865.27
1969,8,1969-08-01,Financial Services Closing Quotations,676.21
1969,8,1969-08-01,Gold And Silver Closing Quotations,541.45
1969,9,1969-09-01,Oil And Gas Closing Quotations,984.9
1969,9,1969-09-01,Metals And Minerals Closing Quotations,1335.64
1969,9,1969-09-01,Utilities Closing Quotations,1123.04
1969,9,1969-09-01,Paper And Forest Products Closing Quotations,1117.18
1969,9,1969-09-01,Merchandising Closing Quotations,886.93
1969,9,1969-09-01,Financial Services Closing Quotations,693.54
1969,9,1969-09-01,Gold And Silver Closing Quotations,567.75
1969,10,1969-10-01,Oil And Gas Closing Quotations,903.07
1969,10,1969-10-01,Metals And Minerals Closing Quotations,1406.24
1969,10,1969-10-01,Utilities Closing Quotations,1082.27
1969,10,1969-10-01,Paper And Forest Products Closing Quotations,1169.98
1969,10,1969-10-01,Merchandising Closing Quotations,905.47
1969,10,1969-10-01,Financial Services Closing Quotations,725.63
1969,10,1969-10-01,Gold And Silver Closing Quotations,508.77
1969,11,1969-11-01,Oil And Gas Closing Quotations,930.55
1969,11,1969-11-01,Metals And Minerals Closing Quotations,1435.87
1969,11,1969-11-01,Utilities Closing Quotations,1090.86
1969,11,1969-11-01,Paper And Forest Products Closing Quotations,1191.93
1969,11,1969-11-01,Merchandising Closing Quotations,964.71
1969,11,1969-11-01,Financial Services Closing Quotations,774.53
1969,11,1969-11-01,Gold And Silver Closing Quotations,491.68
1969,12,1969-12-01,Oil And Gas Closing Quotations,908.64
1969,12,1969-12-01,Metals And Minerals Closing Quotations,1451.38
1969,12,1969-12-01,Utilities Closing Quotations,1060.85
1969,12,1969-12-01,Paper And Forest Products Closing Quotations,1200.41
1969,12,1969-12-01,Merchandising Closing Quotations,944.26
1969,12,1969-12-01,Financial Services Closing Quotations,753.8
1969,12,1969-12-01,Gold And Silver Closing Quotations,457.81
1970,1,1970-01-01,Oil And Gas Closing Quotations,993.92
1970,1,1970-01-01,Metals And Minerals Closing Quotations,1388
1970,1,1970-01-01,Utilities Closing Quotations,999.26
1970,1,1970-01-01,Paper And Forest Products Closing Quotations,1107.09
1970,1,1970-01-01,Merchandising Closing Quotations,929.71
1970,1,1970-01-01,Financial Services Closing Quotations,703.29
1970,1,1970-01-01,Gold And Silver Closing Quotations,469.73
1970,2,1970-02-01,Oil And Gas Closing Quotations,965.13
1970,2,1970-02-01,Metals And Minerals Closing Quotations,1485.25
1970,2,1970-02-01,Utilities Closing Quotations,1002.8
1970,2,1970-02-01,Paper And Forest Products Closing Quotations,1147.11
1970,2,1970-02-01,Merchandising Closing Quotations,892.84
1970,2,1970-02-01,Financial Services Closing Quotations,745.53
1970,2,1970-02-01,Gold And Silver Closing Quotations,461.88
1970,3,1970-03-01,Oil And Gas Closing Quotations,941.09
1970,3,1970-03-01,Metals And Minerals Closing Quotations,1482.77
1970,3,1970-03-01,Utilities Closing Quotations,1031.67
1970,3,1970-03-01,Paper And Forest Products Closing Quotations,1169.91
1970,3,1970-03-01,Merchandising Closing Quotations,871.23
1970,3,1970-03-01,Financial Services Closing Quotations,718.91
1970,3,1970-03-01,Gold And Silver Closing Quotations,531.04
1970,4,1970-04-01,Oil And Gas Closing Quotations,770.44
1970,4,1970-04-01,Metals And Minerals Closing Quotations,1325.49
1970,4,1970-04-01,Utilities Closing Quotations,1006.72
1970,4,1970-04-01,Paper And Forest Products Closing Quotations,1063.54
1970,4,1970-04-01,Merchandising Closing Quotations,781.97
1970,4,1970-04-01,Financial Services Closing Quotations,690.74
1970,4,1970-04-01,Gold And Silver Closing Quotations,460.13
1970,5,1970-05-01,Oil And Gas Closing Quotations,666.61
1970,5,1970-05-01,Metals And Minerals Closing Quotations,1203.97
1970,5,1970-05-01,Utilities Closing Quotations,958.87
1970,5,1970-05-01,Paper And Forest Products Closing Quotations,919.8
1970,5,1970-05-01,Merchandising Closing Quotations,687.27
1970,5,1970-05-01,Financial Services Closing Quotations,632.27
1970,5,1970-05-01,Gold And Silver Closing Quotations,427.48
1970,6,1970-06-01,Oil And Gas Closing Quotations,647.93
1970,6,1970-06-01,Metals And Minerals Closing Quotations,1157.3
1970,6,1970-06-01,Utilities Closing Quotations,995.11
1970,6,1970-06-01,Paper And Forest Products Closing Quotations,805.72
1970,6,1970-06-01,Merchandising Closing Quotations,681.79
1970,6,1970-06-01,Financial Services Closing Quotations,639.63
1970,6,1970-06-01,Gold And Silver Closing Quotations,467.05
1970,7,1970-07-01,Oil And Gas Closing Quotations,774.35
1970,7,1970-07-01,Metals And Minerals Closing Quotations,1172.89
1970,7,1970-07-01,Utilities Closing Quotations,1023.91
1970,7,1970-07-01,Paper And Forest Products Closing Quotations,857.43
1970,7,1970-07-01,Merchandising Closing Quotations,713.81
1970,7,1970-07-01,Financial Services Closing Quotations,652.01
1970,7,1970-07-01,Gold And Silver Closing Quotations,454.09
1970,8,1970-08-01,Oil And Gas Closing Quotations,820.3
1970,8,1970-08-01,Metals And Minerals Closing Quotations,1194.43
1970,8,1970-08-01,Utilities Closing Quotations,1029.83
1970,8,1970-08-01,Paper And Forest Products Closing Quotations,863.44
1970,8,1970-08-01,Merchandising Closing Quotations,728.41
1970,8,1970-08-01,Financial Services Closing Quotations,680.3
1970,8,1970-08-01,Gold And Silver Closing Quotations,484.04
1970,9,1970-09-01,Oil And Gas Closing Quotations,913.37
1970,9,1970-09-01,Metals And Minerals Closing Quotations,1235.43
1970,9,1970-09-01,Utilities Closing Quotations,1088.05
1970,9,1970-09-01,Paper And Forest Products Closing Quotations,848.53
1970,9,1970-09-01,Merchandising Closing Quotations,747.29
1970,9,1970-09-01,Financial Services Closing Quotations,688.45
1970,9,1970-09-01,Gold And Silver Closing Quotations,467.04
1970,10,1970-10-01,Oil And Gas Closing Quotations,881.05
1970,10,1970-10-01,Metals And Minerals Closing Quotations,1204.17
1970,10,1970-10-01,Utilities Closing Quotations,1063.87
1970,10,1970-10-01,Paper And Forest Products Closing Quotations,790.83
1970,10,1970-10-01,Merchandising Closing Quotations,740.17
1970,10,1970-10-01,Financial Services Closing Quotations,669.04
1970,10,1970-10-01,Gold And Silver Closing Quotations,524.98
1970,11,1970-11-01,Oil And Gas Closing Quotations,955.03
1970,11,1970-11-01,Metals And Minerals Closing Quotations,1250.81
1970,11,1970-11-01,Utilities Closing Quotations,1133.61
1970,11,1970-11-01,Paper And Forest Products Closing Quotations,811.38
1970,11,1970-11-01,Merchandising Closing Quotations,742.74
1970,11,1970-11-01,Financial Services Closing Quotations,697.29
1970,11,1970-11-01,Gold And Silver Closing Quotations,527.33
1970,12,1970-12-01,Oil And Gas Closing Quotations,949.89
1970,12,1970-12-01,Metals And Minerals Closing Quotations,1257.37
1970,12,1970-12-01,Utilities Closing Quotations,1159.92
1970,12,1970-12-01,Paper And Forest Products Closing Quotations,907.15
1970,12,1970-12-01,Merchandising Closing Quotations,773.91
1970,12,1970-12-01,Financial Services Closing Quotations,703.21
1970,12,1970-12-01,Gold And Silver Closing Quotations,467.53
1971,1,1971-01-01,Oil And Gas Closing Quotations,968.49
1971,1,1971-01-01,Metals And Minerals Closing Quotations,1303.04
1971,1,1971-01-01,Utilities Closing Quotations,1169.91
1971,1,1971-01-01,Paper And Forest Products Closing Quotations,914.68
1971,1,1971-01-01,Merchandising Closing Quotations,830.17
1971,1,1971-01-01,Financial Services Closing Quotations,713.82
1971,1,1971-01-01,Gold And Silver Closing Quotations,476.98
1971,2,1971-02-01,Oil And Gas Closing Quotations,988.31
1971,2,1971-02-01,Metals And Minerals Closing Quotations,1258.86
1971,2,1971-02-01,Utilities Closing Quotations,1181.78
1971,2,1971-02-01,Paper And Forest Products Closing Quotations,888.83
1971,2,1971-02-01,Merchandising Closing Quotations,852.1
1971,2,1971-02-01,Financial Services Closing Quotations,739.81
1971,2,1971-02-01,Gold And Silver Closing Quotations,522.11
1971,3,1971-03-01,Oil And Gas Closing Quotations,1021.01
1971,3,1971-03-01,Metals And Minerals Closing Quotations,1297.86
1971,3,1971-03-01,Utilities Closing Quotations,1210.33
1971,3,1971-03-01,Paper And Forest Products Closing Quotations,847.5
1971,3,1971-03-01,Merchandising Closing Quotations,907.53
1971,3,1971-03-01,Financial Services Closing Quotations,777.9
1971,3,1971-03-01,Gold And Silver Closing Quotations,543.27
1971,4,1971-04-01,Oil And Gas Closing Quotations,1069.37
1971,4,1971-04-01,Metals And Minerals Closing Quotations,1284.2
1971,4,1971-04-01,Utilities Closing Quotations,1218.71
1971,4,1971-04-01,Paper And Forest Products Closing Quotations,858.66
1971,4,1971-04-01,Merchandising Closing Quotations,944.47
1971,4,1971-04-01,Financial Services Closing Quotations,791.95
1971,4,1971-04-01,Gold And Silver Closing Quotations,524.71
1971,5,1971-05-01,Oil And Gas Closing Quotations,1053.92
1971,5,1971-05-01,Metals And Minerals Closing Quotations,1190.17
1971,5,1971-05-01,Utilities Closing Quotations,1158.9
1971,5,1971-05-01,Paper And Forest Products Closing Quotations,782.23
1971,5,1971-05-01,Merchandising Closing Quotations,920.4
1971,5,1971-05-01,Financial Services Closing Quotations,785.31
1971,5,1971-05-01,Gold And Silver Closing Quotations,505.28
1971,6,1971-06-01,Oil And Gas Closing Quotations,1075.72
1971,6,1971-06-01,Metals And Minerals Closing Quotations,1176.65
1971,6,1971-06-01,Utilities Closing Quotations,1183.58
1971,6,1971-06-01,Paper And Forest Products Closing Quotations,799.43
1971,6,1971-06-01,Merchandising Closing Quotations,1001.54
1971,6,1971-06-01,Financial Services Closing Quotations,813.63
1971,6,1971-06-01,Gold And Silver Closing Quotations,487.57
1971,7,1971-07-01,Oil And Gas Closing Quotations,1141.18
1971,7,1971-07-01,Metals And Minerals Closing Quotations,1093.71
1971,7,1971-07-01,Utilities Closing Quotations,1176.56
1971,7,1971-07-01,Paper And Forest Products Closing Quotations,805.51
1971,7,1971-07-01,Merchandising Closing Quotations,1009.21
1971,7,1971-07-01,Financial Services Closing Quotations,824.24
1971,7,1971-07-01,Gold And Silver Closing Quotations,543.14
1971,8,1971-08-01,Oil And Gas Closing Quotations,1184.91
1971,8,1971-08-01,Metals And Minerals Closing Quotations,1054.88
1971,8,1971-08-01,Utilities Closing Quotations,1144.5
1971,8,1971-08-01,Paper And Forest Products Closing Quotations,773.95
1971,8,1971-08-01,Merchandising Closing Quotations,1014.76
1971,8,1971-08-01,Financial Services Closing Quotations,831.25
1971,8,1971-08-01,Gold And Silver Closing Quotations,483.25
1971,9,1971-09-01,Oil And Gas Closing Quotations,1180.94
1971,9,1971-09-01,Metals And Minerals Closing Quotations,987.36
1971,9,1971-09-01,Utilities Closing Quotations,1128.78
1971,9,1971-09-01,Paper And Forest Products Closing Quotations,735.88
1971,9,1971-09-01,Merchandising Closing Quotations,1002.06
1971,9,1971-09-01,Financial Services Closing Quotations,861.05
1971,9,1971-09-01,Gold And Silver Closing Quotations,487.95
1971,10,1971-10-01,Oil And Gas Closing Quotations,1078.88
1971,10,1971-10-01,Metals And Minerals Closing Quotations,826.76
1971,10,1971-10-01,Utilities Closing Quotations,1097.99
1971,10,1971-10-01,Paper And Forest Products Closing Quotations,644.76
1971,10,1971-10-01,Merchandising Closing Quotations,931.28
1971,10,1971-10-01,Financial Services Closing Quotations,810.66
1971,10,1971-10-01,Gold And Silver Closing Quotations,380.18
1971,11,1971-11-01,Oil And Gas Closing Quotations,1043.42
1971,11,1971-11-01,Metals And Minerals Closing Quotations,839.68
1971,11,1971-11-01,Utilities Closing Quotations,1102.7
1971,11,1971-11-01,Paper And Forest Products Closing Quotations,650.86
1971,11,1971-11-01,Merchandising Closing Quotations,947.95
1971,11,1971-11-01,Financial Services Closing Quotations,832.99
1971,11,1971-11-01,Gold And Silver Closing Quotations,422.15
1971,12,1971-12-01,Oil And Gas Closing Quotations,1158.79
1971,12,1971-12-01,Metals And Minerals Closing Quotations,996.34
1971,12,1971-12-01,Utilities Closing Quotations,1159
1971,12,1971-12-01,Paper And Forest Products Closing Quotations,799.25
1971,12,1971-12-01,Merchandising Closing Quotations,1044.43
1971,12,1971-12-01,Financial Services Closing Quotations,897.25
1971,12,1971-12-01,Gold And Silver Closing Quotations,400.31
1972,1,1972-01-01,Oil And Gas Closing Quotations,1232.8
1972,1,1972-01-01,Metals And Minerals Closing Quotations,1066.96
1972,1,1972-01-01,Utilities Closing Quotations,1157.89
1972,1,1972-01-01,Paper And Forest Products Closing Quotations,856.25
1972,1,1972-01-01,Merchandising Closing Quotations,1110.15
1972,1,1972-01-01,Financial Services Closing Quotations,1060.68
1972,1,1972-01-01,Gold And Silver Closing Quotations,492.23
1972,2,1972-02-01,Oil And Gas Closing Quotations,1254.38
1972,2,1972-02-01,Metals And Minerals Closing Quotations,1123.53
1972,2,1972-02-01,Utilities Closing Quotations,1146.62
1972,2,1972-02-01,Paper And Forest Products Closing Quotations,888.46
1972,2,1972-02-01,Merchandising Closing Quotations,1184.47
1972,2,1972-02-01,Financial Services Closing Quotations,1069.37
1972,2,1972-02-01,Gold And Silver Closing Quotations,501.51
1972,3,1972-03-01,Oil And Gas Closing Quotations,1249.59
1972,3,1972-03-01,Metals And Minerals Closing Quotations,1139.62
1972,3,1972-03-01,Utilities Closing Quotations,1135.12
1972,3,1972-03-01,Paper And Forest Products Closing Quotations,798.07
1972,3,1972-03-01,Merchandising Closing Quotations,1130.6
1972,3,1972-03-01,Financial Services Closing Quotations,1003.88
1972,3,1972-03-01,Gold And Silver Closing Quotations,506.69
1972,4,1972-04-01,Oil And Gas Closing Quotations,1238.72
1972,4,1972-04-01,Metals And Minerals Closing Quotations,1119
1972,4,1972-04-01,Utilities Closing Quotations,1116.78
1972,4,1972-04-01,Paper And Forest Products Closing Quotations,822.39
1972,4,1972-04-01,Merchandising Closing Quotations,1166.49
1972,4,1972-04-01,Financial Services Closing Quotations,1061.15
1972,4,1972-04-01,Gold And Silver Closing Quotations,516.71
1972,5,1972-05-01,Oil And Gas Closing Quotations,1272.48
1972,5,1972-05-01,Metals And Minerals Closing Quotations,1129.8
1972,5,1972-05-01,Utilities Closing Quotations,1092.15
1972,5,1972-05-01,Paper And Forest Products Closing Quotations,890.15
1972,5,1972-05-01,Merchandising Closing Quotations,1208.05
1972,5,1972-05-01,Financial Services Closing Quotations,1040.15
1972,5,1972-05-01,Gold And Silver Closing Quotations,592.25
1972,6,1972-06-01,Oil And Gas Closing Quotations,1307.63
1972,6,1972-06-01,Metals And Minerals Closing Quotations,1058.89
1972,6,1972-06-01,Utilities Closing Quotations,1074.36
1972,6,1972-06-01,Paper And Forest Products Closing Quotations,856.64
1972,6,1972-06-01,Merchandising Closing Quotations,1211.02
1972,6,1972-06-01,Financial Services Closing Quotations,991.6
1972,6,1972-06-01,Gold And Silver Closing Quotations,612.78
1972,7,1972-07-01,Oil And Gas Closing Quotations,1345.34
1972,7,1972-07-01,Metals And Minerals Closing Quotations,1033.65
1972,7,1972-07-01,Utilities Closing Quotations,1070.17
1972,7,1972-07-01,Paper And Forest Products Closing Quotations,928.24
1972,7,1972-07-01,Merchandising Closing Quotations,1269.18
1972,7,1972-07-01,Financial Services Closing Quotations,1066.49
1972,7,1972-07-01,Gold And Silver Closing Quotations,615.25
1972,8,1972-08-01,Oil And Gas Closing Quotations,1433.04
1972,8,1972-08-01,Metals And Minerals Closing Quotations,1119.69
1972,8,1972-08-01,Utilities Closing Quotations,1113.05
1972,8,1972-08-01,Paper And Forest Products Closing Quotations,978.39
1972,8,1972-08-01,Merchandising Closing Quotations,1355.01
1972,8,1972-08-01,Financial Services Closing Quotations,1106.31
1972,8,1972-08-01,Gold And Silver Closing Quotations,583.58
1972,9,1972-09-01,Oil And Gas Closing Quotations,1481.76
1972,9,1972-09-01,Metals And Minerals Closing Quotations,1114.13
1972,9,1972-09-01,Utilities Closing Quotations,1055.01
1972,9,1972-09-01,Paper And Forest Products Closing Quotations,895.36
1972,9,1972-09-01,Merchandising Closing Quotations,1301.96
1972,9,1972-09-01,Financial Services Closing Quotations,1077.94
1972,9,1972-09-01,Gold And Silver Closing Quotations,546.4
1972,10,1972-10-01,Oil And Gas Closing Quotations,1466.96
1972,10,1972-10-01,Metals And Minerals Closing Quotations,1038.83
1972,10,1972-10-01,Utilities Closing Quotations,1049.33
1972,10,1972-10-01,Paper And Forest Products Closing Quotations,865.71
1972,10,1972-10-01,Merchandising Closing Quotations,1270.95
1972,10,1972-10-01,Financial Services Closing Quotations,1060.92
1972,10,1972-10-01,Gold And Silver Closing Quotations,503.68
1972,11,1972-11-01,Oil And Gas Closing Quotations,1538.86
1972,11,1972-11-01,Metals And Minerals Closing Quotations,1045.3
1972,11,1972-11-01,Utilities Closing Quotations,1089.66
1972,11,1972-11-01,Paper And Forest Products Closing Quotations,914.64
1972,11,1972-11-01,Merchandising Closing Quotations,1396.2
1972,11,1972-11-01,Financial Services Closing Quotations,1133.24
1972,11,1972-11-01,Gold And Silver Closing Quotations,507.69
1972,12,1972-12-01,Oil And Gas Closing Quotations,1642.85
1972,12,1972-12-01,Metals And Minerals Closing Quotations,1070.54
1972,12,1972-12-01,Utilities Closing Quotations,1088.72
1972,12,1972-12-01,Paper And Forest Products Closing Quotations,982.63
1972,12,1972-12-01,Merchandising Closing Quotations,1446.71
1972,12,1972-12-01,Financial Services Closing Quotations,1145.51
1972,12,1972-12-01,Gold And Silver Closing Quotations,525.92
1973,1,1973-01-01,Oil And Gas Closing Quotations,1636.98
1973,1,1973-01-01,Metals And Minerals Closing Quotations,1182.28
1973,1,1973-01-01,Utilities Closing Quotations,1100.76
1973,1,1973-01-01,Paper And Forest Products Closing Quotations,1068.03
1973,1,1973-01-01,Merchandising Closing Quotations,1427.51
1973,1,1973-01-01,Financial Services Closing Quotations,1122.48
1973,1,1973-01-01,Gold And Silver Closing Quotations,597.76
1973,2,1973-02-01,Oil And Gas Closing Quotations,1517.32
1973,2,1973-02-01,Metals And Minerals Closing Quotations,1228.6
1973,2,1973-02-01,Utilities Closing Quotations,1078.82
1973,2,1973-02-01,Paper And Forest Products Closing Quotations,1124.18
1973,2,1973-02-01,Merchandising Closing Quotations,1453.2
1973,2,1973-02-01,Financial Services Closing Quotations,1121.86
1973,2,1973-02-01,Gold And Silver Closing Quotations,669.33
1973,3,1973-03-01,Oil And Gas Closing Quotations,1477.3
1973,3,1973-03-01,Metals And Minerals Closing Quotations,1229.72
1973,3,1973-03-01,Utilities Closing Quotations,1060.48
1973,3,1973-03-01,Paper And Forest Products Closing Quotations,1176.38
1973,3,1973-03-01,Merchandising Closing Quotations,1458.98
1973,3,1973-03-01,Financial Services Closing Quotations,1107.34
1973,3,1973-03-01,Gold And Silver Closing Quotations,665.78
1973,4,1973-04-01,Oil And Gas Closing Quotations,1377.23
1973,4,1973-04-01,Metals And Minerals Closing Quotations,1179.59
1973,4,1973-04-01,Utilities Closing Quotations,1039.4
1973,4,1973-04-01,Paper And Forest Products Closing Quotations,1126.56
1973,4,1973-04-01,Merchandising Closing Quotations,1382.66
1973,4,1973-04-01,Financial Services Closing Quotations,1083.53
1973,4,1973-04-01,Gold And Silver Closing Quotations,750.75
1973,5,1973-05-01,Oil And Gas Closing Quotations,1330.04
1973,5,1973-05-01,Metals And Minerals Closing Quotations,1162.91
1973,5,1973-05-01,Utilities Closing Quotations,1018.03
1973,5,1973-05-01,Paper And Forest Products Closing Quotations,1066.46
1973,5,1973-05-01,Merchandising Closing Quotations,1296.62
1973,5,1973-05-01,Financial Services Closing Quotations,1033.7
1973,5,1973-05-01,Gold And Silver Closing Quotations,760
1973,6,1973-06-01,Oil And Gas Closing Quotations,1330.1
1973,6,1973-06-01,Metals And Minerals Closing Quotations,1174.76
1973,6,1973-06-01,Utilities Closing Quotations,1007.34
1973,6,1973-06-01,Paper And Forest Products Closing Quotations,1116.71
1973,6,1973-06-01,Merchandising Closing Quotations,1228.87
1973,6,1973-06-01,Financial Services Closing Quotations,1008.95
1973,6,1973-06-01,Gold And Silver Closing Quotations,854.26
1973,7,1973-07-01,Oil And Gas Closing Quotations,1486.59
1973,7,1973-07-01,Metals And Minerals Closing Quotations,1325.82
1973,7,1973-07-01,Utilities Closing Quotations,988.65
1973,7,1973-07-01,Paper And Forest Products Closing Quotations,1214.84
1973,7,1973-07-01,Merchandising Closing Quotations,1223.1
1973,7,1973-07-01,Financial Services Closing Quotations,1067.92
1973,7,1973-07-01,Gold And Silver Closing Quotations,856.27
1973,8,1973-08-01,Oil And Gas Closing Quotations,1476.64
1973,8,1973-08-01,Metals And Minerals Closing Quotations,1273.93
1973,8,1973-08-01,Utilities Closing Quotations,962.49
1973,8,1973-08-01,Paper And Forest Products Closing Quotations,1214.61
1973,8,1973-08-01,Merchandising Closing Quotations,1150.22
1973,8,1973-08-01,Financial Services Closing Quotations,1080.31
1973,8,1973-08-01,Gold And Silver Closing Quotations,761.01
1973,9,1973-09-01,Oil And Gas Closing Quotations,1500.67
1973,9,1973-09-01,Metals And Minerals Closing Quotations,1379.34
1973,9,1973-09-01,Utilities Closing Quotations,982.3
1973,9,1973-09-01,Paper And Forest Products Closing Quotations,1432.64
1973,9,1973-09-01,Merchandising Closing Quotations,1218.51
1973,9,1973-09-01,Financial Services Closing Quotations,1111.16
1973,9,1973-09-01,Gold And Silver Closing Quotations,763.53
1973,10,1973-10-01,Oil And Gas Closing Quotations,1556.46
1973,10,1973-10-01,Metals And Minerals Closing Quotations,1487.21
1973,10,1973-10-01,Utilities Closing Quotations,999.84
1973,10,1973-10-01,Paper And Forest Products Closing Quotations,1475.15
1973,10,1973-10-01,Merchandising Closing Quotations,1279.85
1973,10,1973-10-01,Financial Services Closing Quotations,1166.69
1973,10,1973-10-01,Gold And Silver Closing Quotations,818.78
1973,11,1973-11-01,Oil And Gas Closing Quotations,1468.63
1973,11,1973-11-01,Metals And Minerals Closing Quotations,1275.52
1973,11,1973-11-01,Utilities Closing Quotations,961.83
1973,11,1973-11-01,Paper And Forest Products Closing Quotations,1239.2
1973,11,1973-11-01,Merchandising Closing Quotations,1102.49
1973,11,1973-11-01,Financial Services Closing Quotations,1058.92
1973,11,1973-11-01,Gold And Silver Closing Quotations,951.3
1973,12,1973-12-01,Oil And Gas Closing Quotations,1392.83
1973,12,1973-12-01,Metals And Minerals Closing Quotations,1346.27
1973,12,1973-12-01,Utilities Closing Quotations,962.17
1973,12,1973-12-01,Paper And Forest Products Closing Quotations,1265.39
1973,12,1973-12-01,Merchandising Closing Quotations,1054.51
1973,12,1973-12-01,Financial Services Closing Quotations,1065.06
1973,12,1973-12-01,Gold And Silver Closing Quotations,1079.5
1974,1,1974-01-01,Oil And Gas Closing Quotations,1492.54
1974,1,1974-01-01,Metals And Minerals Closing Quotations,1364.6
1974,1,1974-01-01,Utilities Closing Quotations,985.62
1974,1,1974-01-01,Paper And Forest Products Closing Quotations,1162.59
1974,1,1974-01-01,Merchandising Closing Quotations,1018.32
1974,1,1974-01-01,Financial Services Closing Quotations,1045.05
1974,1,1974-01-01,Gold And Silver Closing Quotations,1520.81
1974,2,1974-02-01,Oil And Gas Closing Quotations,1461.61
1974,2,1974-02-01,Metals And Minerals Closing Quotations,1394.31
1974,2,1974-02-01,Utilities Closing Quotations,1043.45
1974,2,1974-02-01,Paper And Forest Products Closing Quotations,1260.52
1974,2,1974-02-01,Merchandising Closing Quotations,1049.03
1974,2,1974-02-01,Financial Services Closing Quotations,1125.06
1974,2,1974-02-01,Gold And Silver Closing Quotations,1507.87
1974,3,1974-03-01,Oil And Gas Closing Quotations,1432.86
1974,3,1974-03-01,Metals And Minerals Closing Quotations,1313.91
1974,3,1974-03-01,Utilities Closing Quotations,1038.36
1974,3,1974-03-01,Paper And Forest Products Closing Quotations,1293.28
1974,3,1974-03-01,Merchandising Closing Quotations,1077.34
1974,3,1974-03-01,Financial Services Closing Quotations,1088.29
1974,3,1974-03-01,Gold And Silver Closing Quotations,1525.95
1974,4,1974-04-01,Oil And Gas Closing Quotations,1260.16
1974,4,1974-04-01,Metals And Minerals Closing Quotations,1186.29
1974,4,1974-04-01,Utilities Closing Quotations,977.9
1974,4,1974-04-01,Paper And Forest Products Closing Quotations,1161.19
1974,4,1974-04-01,Merchandising Closing Quotations,978.47
1974,4,1974-04-01,Financial Services Closing Quotations,990.13
1974,4,1974-04-01,Gold And Silver Closing Quotations,1246.96
1974,5,1974-05-01,Oil And Gas Closing Quotations,1049.03
1974,5,1974-05-01,Metals And Minerals Closing Quotations,1051.23
