year,month,date,series,value
1957,3,1957-03-01,Gold And Silver Closing Quotations,213.35
1957,4,1957-04-01,Oil And Gas Closing Quotations,669.66
1957,4,1957-04-01,Metals And Minerals Closing Quotations,879.75
1957,4,1957-04-01,Utilities Closing Quotations,879.58
1957,4,1957-04-01,Paper And Forest Products Closing Quotations,842.1
1957,4,1957-04-01,Merchandising Closing Quotations,263.76
1957,4,1957-04-01,Financial Services Closing Quotations,374.05
1957,4,1957-04-01,Gold And Silver Closing Quotations,211.19
1957,5,1957-05-01,Oil And Gas Closing Quotations,726.75
1957,5,1957-05-01,Metals And Minerals Closing Quotations,868.13
1957,5,1957-05-01,Utilities Closing Quotations,887.53
1957,5,1957-05-01,Paper And Forest Products Closing Quotations,850.96
1957,5,1957-05-01,Merchandising Closing Quotations,286.34
1957,5,1957-05-01,Financial Services Closing Quotations,387.75
1957,5,1957-05-01,Gold And Silver Closing Quotations,202.88
1957,6,1957-06-01,Oil And Gas Closing Quotations,711.46
1957,6,1957-06-01,Metals And Minerals Closing Quotations,851.08
1957,6,1957-06-01,Utilities Closing Quotations,847.17
1957,6,1957-06-01,Paper And Forest Products Closing Quotations,868.73
1957,6,1957-06-01,Merchandising Closing Quotations,274.22
1957,6,1957-06-01,Financial Services Closing Quotations,383
1957,6,1957-06-01,Gold And Silver Closing Quotations,203.41
1957,7,1957-07-01,Oil And Gas Closing Quotations,700.55
1957,7,1957-07-01,Metals And Minerals Closing Quotations,822.62
1957,7,1957-07-01,Utilities Closing Quotations,837.57
1957,7,1957-07-01,Paper And Forest Products Closing Quotations,791.05
1957,7,1957-07-01,Merchandising Closing Quotations,238.57
1957,7,1957-07-01,Financial Services Closing Quotations,378.43
1957,7,1957-07-01,Gold And Silver Closing Quotations,201.06
1957,8,1957-08-01,Oil And Gas Closing Quotations,628.61
1957,8,1957-08-01,Metals And Minerals Closing Quotations,708.26
1957,8,1957-08-01,Utilities Closing Quotations,804.77
1957,8,1957-08-01,Paper And Forest Products Closing Quotations,738.81
1957,8,1957-08-01,Merchandising Closing Quotations,267.5
1957,8,1957-08-01,Financial Services Closing Quotations,351.19
1957,8,1957-08-01,Gold And Silver Closing Quotations,212.74
1957,9,1957-09-01,Oil And Gas Closing Quotations,546.35
1957,9,1957-09-01,Metals And Minerals Closing Quotations,660.96
1957,9,1957-09-01,Utilities Closing Quotations,778.55
1957,9,1957-09-01,Paper And Forest Products Closing Quotations,701.5
1957,9,1957-09-01,Merchandising Closing Quotations,242.48
1957,9,1957-09-01,Financial Services Closing Quotations,330.35
1957,9,1957-09-01,Gold And Silver Closing Quotations,219.18
1957,10,1957-10-01,Oil And Gas Closing Quotations,491.76
1957,10,1957-10-01,Metals And Minerals Closing Quotations,594.37
1957,10,1957-10-01,Utilities Closing Quotations,765.94
1957,10,1957-10-01,Paper And Forest Products Closing Quotations,662.81
1957,10,1957-10-01,Merchandising Closing Quotations,246.59
1957,10,1957-10-01,Financial Services Closing Quotations,323.04
1957,10,1957-10-01,Gold And Silver Closing Quotations,197.32
1957,11,1957-11-01,Oil And Gas Closing Quotations,510.08
1957,11,1957-11-01,Metals And Minerals Closing Quotations,593.84
1957,11,1957-11-01,Utilities Closing Quotations,793.29
1957,11,1957-11-01,Paper And Forest Products Closing Quotations,679.46
1957,11,1957-11-01,Merchandising Closing Quotations,256.72
1957,11,1957-11-01,Financial Services Closing Quotations,337.62
1957,11,1957-11-01,Gold And Silver Closing Quotations,199.01
1957,12,1957-12-01,Oil And Gas Closing Quotations,452.38
1957,12,1957-12-01,Metals And Minerals Closing Quotations,556.99
1957,12,1957-12-01,Utilities Closing Quotations,784.89
1957,12,1957-12-01,Paper And Forest Products Closing Quotations,642.64
1957,12,1957-12-01,Merchandising Closing Quotations,266.48
1957,12,1957-12-01,Financial Services Closing Quotations,318.55
1957,12,1957-12-01,Gold And Silver Closing Quotations,202.8
1958,1,1958-01-01,Oil And Gas Closing Quotations,472.52
1958,1,1958-01-01,Metals And Minerals Closing Quotations,574.25
1958,1,1958-01-01,Utilities Closing Quotations,813.87
1958,1,1958-01-01,Paper And Forest Products Closing Quotations,681.33
1958,1,1958-01-01,Merchandising Closing Quotations,273
1958,1,1958-01-01,Financial Services Closing Quotations,327.58
1958,1,1958-01-01,Gold And Silver Closing Quotations,229.25
1958,2,1958-02-01,Oil And Gas Closing Quotations,450.09
1958,2,1958-02-01,Metals And Minerals Closing Quotations,556.95
1958,2,1958-02-01,Utilities Closing Quotations,830.71
1958,2,1958-02-01,Paper And Forest Products Closing Quotations,682.47
1958,2,1958-02-01,Merchandising Closing Quotations,271.14
1958,2,1958-02-01,Financial Services Closing Quotations,330.06
1958,2,1958-02-01,Gold And Silver Closing Quotations,256.75
1958,3,1958-03-01,Oil And Gas Closing Quotations,472.37
1958,3,1958-03-01,Metals And Minerals Closing Quotations,578.91
1958,3,1958-03-01,Utilities Closing Quotations,827.94
1958,3,1958-03-01,Paper And Forest Products Closing Quotations,684.45
1958,3,1958-03-01,Merchandising Closing Quotations,289.27
1958,3,1958-03-01,Financial Services Closing Quotations,330.21
1958,3,1958-03-01,Gold And Silver Closing Quotations,253.78
1958,4,1958-04-01,Oil And Gas Closing Quotations,471.14
1958,4,1958-04-01,Metals And Minerals Closing Quotations,555.85
1958,4,1958-04-01,Utilities Closing Quotations,819.84
1958,4,1958-04-01,Paper And Forest Products Closing Quotations,672.02
1958,4,1958-04-01,Merchandising Closing Quotations,303.67
1958,4,1958-04-01,Financial Services Closing Quotations,340.65
1958,4,1958-04-01,Gold And Silver Closing Quotations,274.01
1958,5,1958-05-01,Oil And Gas Closing Quotations,497.01
1958,5,1958-05-01,Metals And Minerals Closing Quotations,573.94
1958,5,1958-05-01,Utilities Closing Quotations,823.8
1958,5,1958-05-01,Paper And Forest Products Closing Quotations,687.42
1958,5,1958-05-01,Merchandising Closing Quotations,326.8
1958,5,1958-05-01,Financial Services Closing Quotations,357.24
1958,5,1958-05-01,Gold And Silver Closing Quotations,277.83
1958,6,1958-06-01,Oil And Gas Closing Quotations,513.83
1958,6,1958-06-01,Metals And Minerals Closing Quotations,587.32
1958,6,1958-06-01,Utilities Closing Quotations,829.98
1958,6,1958-06-01,Paper And Forest Products Closing Quotations,715.26
1958,6,1958-06-01,Merchandising Closing Quotations,345.24
1958,6,1958-06-01,Financial Services Closing Quotations,371.59
1958,6,1958-06-01,Gold And Silver Closing Quotations,264.62
1958,7,1958-07-01,Oil And Gas Closing Quotations,527.5
1958,7,1958-07-01,Metals And Minerals Closing Quotations,626.81
1958,7,1958-07-01,Utilities Closing Quotations,840.74
1958,7,1958-07-01,Paper And Forest Products Closing Quotations,768.24
1958,7,1958-07-01,Merchandising Closing Quotations,369.52
1958,7,1958-07-01,Financial Services Closing Quotations,383.81
1958,7,1958-07-01,Gold And Silver Closing Quotations,256.61
1958,8,1958-08-01,Oil And Gas Closing Quotations,524.94
1958,8,1958-08-01,Metals And Minerals Closing Quotations,626.13
1958,8,1958-08-01,Utilities Closing Quotations,858.66
1958,8,1958-08-01,Paper And Forest Products Closing Quotations,810.99
1958,8,1958-08-01,Merchandising Closing Quotations,371.06
1958,8,1958-08-01,Financial Services Closing Quotations,387.9
1958,8,1958-08-01,Gold And Silver Closing Quotations,266.86
1958,9,1958-09-01,Oil And Gas Closing Quotations,543.6
1958,9,1958-09-01,Metals And Minerals Closing Quotations,655.22
1958,9,1958-09-01,Utilities Closing Quotations,857.64
1958,9,1958-09-01,Paper And Forest Products Closing Quotations,813.64
1958,9,1958-09-01,Merchandising Closing Quotations,389.64
1958,9,1958-09-01,Financial Services Closing Quotations,406.61
1958,9,1958-09-01,Gold And Silver Closing Quotations,251.44
1958,10,1958-10-01,Oil And Gas Closing Quotations,509.29
1958,10,1958-10-01,Metals And Minerals Closing Quotations,691.64
1958,10,1958-10-01,Utilities Closing Quotations,842.98
1958,10,1958-10-01,Paper And Forest Products Closing Quotations,870.33
1958,10,1958-10-01,Merchandising Closing Quotations,404.3
1958,10,1958-10-01,Financial Services Closing Quotations,421.08
1958,10,1958-10-01,Gold And Silver Closing Quotations,245.5
1958,11,1958-11-01,Oil And Gas Closing Quotations,500.17
1958,11,1958-11-01,Metals And Minerals Closing Quotations,673.74
1958,11,1958-11-01,Utilities Closing Quotations,851.31
1958,11,1958-11-01,Paper And Forest Products Closing Quotations,881.99
1958,11,1958-11-01,Merchandising Closing Quotations,441.52
1958,11,1958-11-01,Financial Services Closing Quotations,434.91
1958,11,1958-11-01,Gold And Silver Closing Quotations,271.35
1958,12,1958-12-01,Oil And Gas Closing Quotations,510.49
1958,12,1958-12-01,Metals And Minerals Closing Quotations,688.51
1958,12,1958-12-01,Utilities Closing Quotations,843.64
1958,12,1958-12-01,Paper And Forest Products Closing Quotations,857.84
1958,12,1958-12-01,Merchandising Closing Quotations,455.04
1958,12,1958-12-01,Financial Services Closing Quotations,434.6
1958,12,1958-12-01,Gold And Silver Closing Quotations,313.51
1959,1,1959-01-01,Oil And Gas Closing Quotations,528.38
1959,1,1959-01-01,Metals And Minerals Closing Quotations,696.59
1959,1,1959-01-01,Utilities Closing Quotations,857.83
1959,1,1959-01-01,Paper And Forest Products Closing Quotations,906.7
1959,1,1959-01-01,Merchandising Closing Quotations,480.5
1959,1,1959-01-01,Financial Services Closing Quotations,434.3
1959,1,1959-01-01,Gold And Silver Closing Quotations,306.18
1959,2,1959-02-01,Oil And Gas Closing Quotations,505.47
1959,2,1959-02-01,Metals And Minerals Closing Quotations,691.14
1959,2,1959-02-01,Utilities Closing Quotations,888.32
1959,2,1959-02-01,Paper And Forest Products Closing Quotations,975.43
1959,2,1959-02-01,Merchandising Closing Quotations,495.77
1959,2,1959-02-01,Financial Services Closing Quotations,448.04
1959,2,1959-02-01,Gold And Silver Closing Quotations,299.4
1959,3,1959-03-01,Oil And Gas Closing Quotations,497.46
1959,3,1959-03-01,Metals And Minerals Closing Quotations,684.96
1959,3,1959-03-01,Utilities Closing Quotations,849.73
1959,3,1959-03-01,Paper And Forest Products Closing Quotations,933.4
1959,3,1959-03-01,Merchandising Closing Quotations,520.72
1959,3,1959-03-01,Financial Services Closing Quotations,462.04
